Title,Album,Artist,Duration
" Who Can It Be Now",Business As Usual,Men At Work,202462
$300,El Oso,Soul Coughing,187923
&#39;Round Midnight,The Best of Thelonious Monk,Thelonious Monk,193879
&quot;40&quot;,War,U2,157673
&quot;Cieco Cieco&quot; Barber,The Triplets of Belleville,Ben Charest,108134
(Big) Wish,Run Lola Run,Franka Potente &amp; Thomas D,232804
(Don&#39;t Fear) The Reaper,Agents of Fortune,Blue Oyster Cult,308451
(Don&#39;t) Give Hate A Chance,High Times: Singles 1992-2006,Jamiroquai,229222
(I Can&#39;t Get No) Satisfaction,Q: Are We Not Men? A: We Are Devo!,Devo,159406
(I Want to Live on an) Abstract Plain,Teenager Of The Year,Frank Black,137768
(I&#39;ll Love You) Till the End of the World,Until the End of the World,Nick Cave &amp; The Bad Seeds,276926
(I&#39;ll Never Be) Your Maggie May,Songs In Red And Gray,Suzanne Vega,227237
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000
(Looking For) The Heart Of Saturday Night,Half The Perfect World,Madeleine Peyroux,206102
(She Was A) Hotel Detective,They Might Be Giants,They Might Be Giants,130401
(The Forgotten People),Radio Retaliation,Thievery Corporation,190000
(untitled),Lamb,Lamb,506013
-Sleep/Swim,Finally We Are No One,Múm,50154
,,,0
1%,Jane&#39;s Addiction,Jane&#39;s Addiction,211041
10 A.M. Automatic,Rubber Factory,The Black Keys,179000
100 Million,Ego War,Audio Bullys,211696
1000 Umbrellas,Skylarking,XTC,219986
1009,Black Sands,Bonobo,269230
10:15 Saturday Night,Staring At The Sea: The Singles,The Cure,217698
11:11,11:11,Rodrigo Y Gabriela,288314
12/6/73,Chewing Lessons de España,Barefoot Gravediggers,195936
15 to 20 (feat. Lady Tigra),The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000
1979,Mellon Collie And The Infinite Sadness: Twilight To Starlight,Smashing Pumpkins,263575
1999,1999,Prince,379268
22Dunk,DDR Max Soundtrack,Slake,66742
30 De Marzo,Re-Foc,Rodrigo Y Gabriela,253812
32 Footsteps,They Might Be Giants,They Might Be Giants,95946
360? (Oh Yeah?),Decksandrumsandrockandroll,Propellerheads &amp; De La Soul,267805
4 out of 5,Irresistable Bliss,Soul Coughing,192233
40 Years Back Come,Melody A.M.,Röyksopp,284310
40&#39;,Franz Ferdinand,Franz Ferdinand,203398
4th Of July,Superunknown,Soundgarden,308869
"5 Months, 2 Weeks, 2 Days",Louis Prima : The Capitol Collector&#39;s Series,Louis Prima,129880
5-20,The Dino Soars,Stegosaurus Rex,243000
50 Ways to Leave Your Lover,Negotiations and Love Songs,Paul Simon,213653
52 Girls,The B-52s,The B-52&#39;s,214890
72 Degrees,The Colors In The Wheel,Venus Hum,279396
867-5309 (Jenny),Tommy Tutone 2,Tommy Tutone,228020
9-9,Murmur,R.E.M.,183508
911 Is A Joke,Fear Of A Black Planet,Public Enemy,197301
99 Luftballons,99 Luftballons,Nena,233010
A Certain Romance,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,329706
A Certain Someone,"Reading, Writing And Arithmetic",The Sundays,264879
A Different Drum,Passion,Peter Gabriel,279604
A Forest,Staring At The Sea: The Singles,The Cure,293670
A Gentle Dissolve,The Cosmic Game,Thievery Corporation,169637
A Good Idea At The Time,Oh No,Ok Go,193700
A Gozar El Tumbao,Cachaito,Orlando Lopez,166790
A Higher Place,Melody A.M.,Röyksopp,270010
A Higher Place,Wildflowers,Tom Petty,235144
A Lesson Learned,Significant Other,Limp Bizkit,159354
A Little Bit,Half The Perfect World,Madeleine Peyroux,241735
A Little Respect,The Innocents,Erasure,213418
A Million Ways,Oh No,Ok Go,192296
A Moment In Black &amp; White,Beatitude,Pepe Deluxé,248586
A Night Like This,Staring At The Sea: The Singles,The Cure,256363
A Number of Microphones,Decksandrumsandrockandroll,Propellerheads,45474
A Place In My Heart,Social Distortion,Social Distortion,195002
A Rede,Lenine,Lenine,254072
A Sermon,Message In A Box,The Police,152816
A Song and a Christmas Tree,The Andy Williams Christmas Album,Andy Williams,236964
A Woman Left Lonely,Pearl,Janis Joplin,208754
A Wonderous Siege,Chewing Lessons de España,Barefoot Gravediggers,304252
A cause des garçons,Pop Up,Yelle,226000
A(flat) Traffic Jam,Big Wet Kiss,Chucklehead,281476
A-Punk,Vampire Weekend,Vampire Weekend,136760
ABC,Jackson 5: The Ultimate Collection,Jackson 5,177448
ALT -Interlude-,Private,speedometer.,86346
AM,DDR Max Soundtrack,3P,77714
A,Maybe You Should Drive,Barenaked Ladies,259785
Abbaon Fat Track,Maxinquaye,Tricky,266525
Above The Clouds,Mickey Mouse Operation,Little People,230000
Above and Beyond,Beyond Good &amp; Evil,Christophe Heral,342784
"Abraham in Chicago, 2013 I","Chicago, 2013",Abraham-Hicks,4388514
"Abraham in Chicago, 2013 II","Chicago, 2013",Abraham-Hicks,3658980
"Abraham in Chicago, 2013 III","Chicago, 2013",Abraham-Hicks,4217538
"Abraham in Philadelphia, 2014","Philadelphia, 2014",Abraham-Hicks Publications,10000944
"Abraham in Phoenix, 2013 I.m4a","Phoenix, 2013",Abraham-Hicks,4778098
"Abraham in Phoenix, 2013 II.m4a","Phoenix, 2013",Abraham-Hicks,3988608
"Abraham in Phoenix, 2013 III.m4a","Phoenix, 2013",Abraham-Hicks,4079660
Abraham in San Diego 1.m4a,"San Diego, 2015",Abraham-Hicks,4802856
Abraham in San Diego 2.m4a,"San Diego, 2015",Abraham-Hicks,4561800
Abraham in San Diego 3.m4a,"San Diego, 2015",Abraham-Hicks,4979256
"Abraham in Stamford, 2012 III","Stamford, 2012",Abraham-Hicks,3955354
"Abraham in Stamford, 2012 II","Stamford, 2012",Abraham-Hicks,4269044
"Abraham in Stamford, 2012 I","Stamford, 2012",Abraham-Hicks,4462120
Ace of Spades,Ace of Spades,Motörhead,167000
Acebo,Loteria de la Cumbia Lounge,Charanga Cakewalk,325598
Acknowledgement,A Love Supreme,John Coltrane Quartet,462859
Acrobat,Achtung Baby,U2,270077
Across The Graveyard,Junior,Röyksopp,262002
Across This Antheap,Oranges &amp; Lemons,XTC,290238
Addicted to Love,Riptide,Robert Palmer,235831
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335
Adversary,Until the End of the World,Crime &amp; The City Solution,331136
Aeroplane,One Hot Minute,Red Hot Chili Peppers,283816
African Dream,The Rhythmatist,Stewart Copeland,204542
After Time,Mrs Cruff,Mr. Scruff,152000
Aftermath,Maxinquaye,Tricky,458640
Again &amp; Again,The Bird And The Bee,The Bird &amp; The Bee,165616
Again Again,Rochester Sessions,Francis,303810
Age Of Consent,"Power, Corruption &amp; Lies [Collector&#39;s Edition]",New Order,315216
Ain&#39;t No Good,Motorcade Of Generosity,Cake,159952
Ain&#39;t No Right,Ritual De Lo Habitual,Jane&#39;s Addiction,214567
Ain&#39;t Nuthin&#39;,Dub 56,The Toasters,191178
Air Batucada,The Mirror Conspiracy,Thievery Corporation,286012
Air of December,Shooting Rubberbands at the Stars,Edie Brickell &amp; New Bohemians,359494
Airbag,OK COMPUTER,Radiohead,284418
Airport Feelings,Atlas,Kinky,205294
Akita Sugagaki (Reed Fence),Shakuhachi Meditation Music,Stan Richardson,1031160
Akita Sugagaki,Japan: Shakuhachi - The Japanese Flute,Various Artists,568568
Akuda House Propaganda,Beyond Good &amp; Evil,Christophe Heral,160966
Alaska,Wholeness &amp; Separation,Halou,84344
Alec Eiffel,Trompe Le Monde,Pixies,170316
Alien,Fear of Fours,Lamb,245752
All Blues,Kind Of Blue,Miles Davis,690664
All For Swinging You Around,Electric Version,The New Pornographers,221546
All I Ever Wanted,Mama Said,Lenny Kravitz,254223
All In Forms,Black Sands,Bonobo,290446
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000
All In Your Hands,Fear of Fours,Lamb,277940
All Is Not Lost,Of the Blue Colour of the Sky,Ok Go,162838
All Lifestyles,To The 5 Boroughs,Beastie Boys,152958
All Mine,Portishead,Portishead,240637
All Or Nothing At All,Ballads,John Coltrane Quartet,215168
All Star,Astro Lounge,Smash Mouth,199212
All That Money Wants,Greatest Hits,The Psychedelic Furs,225042
All That We Perceive,The Richest Man In Babylon,Thievery Corporation,226140
All The Best,Collapse Into Now,R.E.M.,166241
All You Need Is Love,Magical Mystery Tour,The Beatles,227708
All the Voices,The Swing,INXS,367484
Alligator_Aviator_Autopilot_Antimatter,Collapse Into Now,R.E.M.,164700
Alma-Ville,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,298000
Aloha (feat. Merryn Jeann),Panorama,Møme,218000
Alone Together,Is This It,The Strokes,188654
Alone again so,A Grand Love Story,Kid Loco,423000
Alone in kyoto,Talkie Walkie,Air,291000
Alone+Easy Target,Foo Fighters,Foo Fighters,245679
Alpha Male,The Understanding,Röyksopp,491489
Alright Hear This,Ill Communication,Beastie Boys,186775
Alright,High Times: Singles 1992-2006,Jamiroquai,222012
Aluminum,White Blood Cells [Bonus DVD],The White Stripes,138554
Always On The Run,Mama Said,Lenny Kravitz,233247
Always Something There To Remind Me,Burning Bridges,Naked Eyes,218956
Alzira E A Torre,Lenine,Lenine,206076
Ambushed,Angel Milk,Telepopmusik,94276
American Ghost Dance,Freaky Styley,Red Hot Chili Peppers,230178
American Life,Sailing The Seas Of Cheese,Primus,268892
Amerimacka,The Cosmic Game,Thievery Corporation,341521
An Announcement to Answer,An Announcement to Answer,Quantic,293000
An Ode To No One,Mellon Collie And The Infinite Sadness: Dawn To Dusk,Smashing Pumpkins,289666
Ana Ng,Lincoln,They Might Be Giants,203023
Anais,Cachaito,Orlando Lopez,221910
Ancient Chinese Secrets,Beyond Good &amp; Evil,Christophe Heral,179218
And She Was,Little Creatures,Talking Heads,219000
Angel Gifts,Katamari Fortissimo Damacy,Namco,308854
Angel,Collected,Massive Attack,374151
Angelina - Zooma Zooma,Louis Prima : The Capitol Collector&#39;s Series,Louis Prima,255736
Angels Don&#39;t Cry,Greatest Hits,The Psychedelic Furs,236171
Angry Johny,Hello,Poe,258401
Animal Rights,4x4=12,deadmau5,375000
Animal,Francis,Francis,236808
Animals,Black Sands,Bonobo,403208
Anna (El Negro Zumbon),Donna Del Fiume,Silvana Mangano,154486
Anna (El Negro Zumbon),Hang On Little Tomato,Pink Martini,155792
Annanas,Suzuki,Tosca,394445
Annie-Dog,Adore,Smashing Pumpkins,218747
Anorexic Freaks,Kinky,Kinky,219414
Another Body Murdered,Judgment Night,Faith No More &amp; Boo-Yaa T.R.I.B.E.,264212
Another Free Day,Chewing Lessons de España,Barefoot Gravediggers,190112
Another Generation,Fishbone,Fishbone,243000
Another One Bites the Dust,The Game,Queen,215900
Another Satellite,Skylarking,XTC,255008
Antonio&#39;s Song (The Rainbow),Sleeping Gypsy,Michael Franks,305240
Ants Marching,Under The Table And Dreaming,Dave Matthews Band,269958
Any How,Newcomer,Llorca,340000
Anywayz,Breath From Another,Esthero,234473
Anywhere I Lay My Head,Rain Dogs,Tom Waits,166322
Apache Rose Peacock,Blood Sugar Sex Magik,Red Hot Chili Peppers,280878
Apache,On The Floor At The Boutique,Fatboy Slim,166114
Appels + Oranjes,Adore,Smashing Pumpkins,219060
Apple,Viva! La Woman,Cibo Matto,240396
April In Paris,The Best of Thelonious Monk,Thelonious Monk,201247
Arco Arena,Comfort Eagle,Cake,90948
Are You Experienced?,Are You Experienced,Jimi Hendrix Experience,251914
Are You Gonna Be My Girl (Album Version),Are You Gonna Be My Girl,Jet,215900
Arnie,Brown Album,Primus,233272
Around The World,Homework,Daft Punk,429000
Arrival Of The Queen Of Sheba,The Masterpiece,"Handel, George Friedrich",188550
Artichoke,Viva! La Woman,Cibo Matto,400166
Artificial Sweetener,Return Of Saturn,No Doubt,234525
As Heaven Is Wide,Garbage,Garbage,292937
As I Bleed,Francis,Francis,285454
As I Bleed,Rochester Sessions,Francis,288184
As I Bleed,Rochester Sessions,Number Nine,276822
Ask Me Now,The Best of Thelonious Monk,Thelonious Monk,196073
Ask,Louder Than Bombs,The Smiths,198163
Asmarina,Ethiopiques 4,Mulatu Astatqé,297258
Ass Retreat,Interstate &#39;76 Soundtrack,Bullmark,10192
At Your Best,The Overture &amp; The Underscore,Sarah Blasko,215000
Atman,11:11,Rodrigo Y Gabriela,349414
Atom Bomb,Risotto,Fluke,345000
Attraction,Live,Paris Combo,252668
Au Banquet Des Chasseurs,Hawaï,Java,229554
Auctioneer (Another Engine),Fables Of The Reconstruction,R.E.M.,163722
Audition Song,At Dajhelon,Francis,229190
Audition Song,Waiting For The 100th Monkey,Francis,235716
Auf Achse,Franz Ferdinand,Franz Ferdinand,258622
Automatic Pilot-A 1,Automatic Pilot Paraliminal,Paul R. Scheele,156624
Automatic Pilot-A 2,Automatic Pilot Paraliminal,Paul R. Scheele,335998
Automatic Pilot-A 4,Automatic Pilot Paraliminal,Paul R. Scheele,174356
Automatic Pilot-A Sleep Learning Track,Automatic Pilot Paraliminal,Paul R. Scheele,280566
Automatic Pilot-B 1,Automatic Pilot Paraliminal,Paul R. Scheele,74334
Automatic Pilot-B 2,Automatic Pilot Paraliminal,Paul R. Scheele,428662
Automatic Pilot-B 4,Automatic Pilot Paraliminal,Paul R. Scheele,103636
