Title,Album,Artist,Duration,Index
(Keep Feeling) Fascination (Remastered),Countdown To The New Year,The Human League,223000,2
10:15 Saturday Night,Staring At The Sea: The Singles,The Cure,217698,12
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,26
Always Something There To Remind Me,80&#39;s Super Hits,Naked Eyes,221000,3
Boys Don&#39;t Cry,Staring At The Sea: The Singles,The Cure,157074,13
Bye Bye Love,The Cars (Deluxe Edition),The Cars,255000,18
Der Kommissar,Der Kommissar,After The Fire,246740,0
Everybody Have Fun Tonight (7&quot; Version),Totally &#39;80s For Kids,Wang Chung,251000,6
Friday I&#39;m in Love,Wish,The Cure,214000,15
Girls Just Want To Have Fun  ,She&#39;s So Unusual,Cyndi Lauper,236444,17
Head Over Heels,Talk Show,The Go-Go&#39;s,217000,7
Heaven Knows I&#39;m Miserable Now (2008 Remaster),The Sound of the Smiths (Deluxe) [2008 Remaster],The Smiths,216000,23
How Soon Is Now? (2011 Remaster),Hatful of Hollow,The Smiths,408000,20
I Ran (So Far Away),A Flock Of Seagulls,A Flock Of Seagulls,308000,1
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,14
Just Like Heaven (2006 Remaster),Kiss Me Kiss Me Kiss Me,The Cure,212000,21
Karma Chameleon,Colour By Numbers,Culture Club,241946,11
Lovergirl,Greatest Hits,Teena Marie,290000,10
Mexican Radio,Guilty Pleasures,Wall Of Voodoo,250000,8
Money Changes Everything  ,She&#39;s So Unusual,Cyndi Lauper,301652,16
My Best Friend&#39;s Girl,The Cars,The Cars,223000,5
Rio (David Kershenbaum Remix),Party Time,Duran Duran,337000,4
She Bop,She&#39;s So Unusual,Cyndi Lauper,227812,25
"Sweet and Tender Hooligan (John Peel Session, 12/2/86)",Louder Than Bombs,The Smiths,216000,22
The Metro,Pleasure Victim,Berlin,251000,9
Time After Time ,She&#39;s So Unusual,Cyndi Lauper,241345,24
When the Lights Go Out,Burning Bridges,Naked Eyes,183000,19
