Title,Album,Artist,Duration,Index
100 Million,Ego War,Audio Bullys,211696,49
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,54
52 Girls,The B-52s,The B-52&#39;s,214890,52
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,221
Again &amp; Again,The Bird And The Bee,The Bird &amp; The Bee,165616,78
Ain&#39;t No Good,Motorcade Of Generosity,Cake,159952,100
An Announcement to Answer,An Announcement to Answer,Quantic,293000,169
And She Was,Little Creatures,Talking Heads,219000,206
Any How,Newcomer,Llorca,340000,198
Around the Bend,Around The Bend - EP,The Asteroids Galaxy Tour,229000,22
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,94
Battle Of Life(Gramatik 2012 Remix),Dinner With The Beatz Vol. 1 - 2012 Re-Edits,JK Soul,238000,185
Beercan,Mellow Gold,Beck,239304,68
Before Or Since,Deadringer: Deluxe,RJD2,201000,105
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,160
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,173
Birth In Reverse,St. Vincent,St. Vincent,195000,190
Boys Don&#39;t Cry,Staring At The Sea: The Singles,The Cure,157074,178
Breakdown (feat. Jack Johnson),White People,Handsome Boy Modeling School,247000,193
Breathe In,Details,Frou Frou,277000,86
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,25
Buggin&#39; Out,The Low End Theory,A Tribe Called Quest,217000,196
Bye Bye Love,The Cars (Deluxe Edition),The Cars,255000,194
Cannonball,Last Splash,The Breeders,215612,88
Carnival,Life,Cardigans,216294,112
Champion Nibble,Trouser Jazz,Mr. Scruff,214000,153
Close To Me,Staring At The Sea: The Singles,The Cure,220549,182
Clouds,Stereotype A,Cibo Matto,207000,150
Cold Shoulder,19,Adele,191867,36
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,6
Come to Me (feat. Yukimi Nagano),Koop Islands,Koop,199000,18
Come,Zanaka,Jain,162324,77
Compacto,JapanPopShow,Curumin,206000,187
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,89
Cult of Personality,Vivid,Living Colour,294000,146
Der Kommissar,Der Kommissar,After The Fire,246740,38
Dirty Laundry,The Mating Game,Bitter:Sweet,200000,32
Doctor Robert,Revolver,The Beatles,134654,65
Don&#39;t Stop,Brazilian Girls,Brazilian Girls,229000,177
Drinkee,Soft Animals,Sofi Tukker,299000,93
Ever Fallen In Love (feat. Mélanie Pain),Bande A Part,Nouvelle Vague,199000,192
Everybody Wants To Be Famous,Superorganism,Superorganism,185000,144
Everything (feat. Bajka),Berlin Serengeti,Radio Citizen,243000,12
Fall In Love,Voices,Phantogram,223000,20
Flipside,Last Splash,The Breeders,118976,90
Fly,Floored,Sugar Ray,244000,59
Friday I&#39;m in Love,Wish,The Cure,214000,131
Friday,"Beatz &amp; Pieces, Vol. 1",Gramatik,202000,130
Fun and Mini-Games,Beyond Good &amp; Evil,Christophe Heral,113854,121
Gamma Ray,Modern Guilt,Beck,176000,136
Get A Move On!,Keep It Unreal,Mr. Scruff,205000,61
Get Lucky (Radio Edit) (feat. Pharrell Williams &amp; Nile Rodgers),Get Lucky,Daft Punk,248000,40
Girlfriend,Girlfriend,Matthew Sweet,220000,27
Girls Just Want To Have Fun  ,She&#39;s So Unusual,Cyndi Lauper,236444,184
Girls and Boys (7&quot; Mix),Blur: The Best Of,Blur,259000,48
Goldrush (Instrumental),Session 1,The Herbaliser,340000,162
Good Time Girl (feat. Charlie Barker),Treehouse,Sofi Tukker,184000,161
Good Times Roll,The Cars,The Cars,224000,114
Goody Two Shoes,Friend or Foe,Adam Ant,209586,33
Groovin&#39;,Mushroom Jazz 6,Kero One,205818,176
Have Love Will Travel,Thickfreakness,The Black Keys,184000,215
Head Over Heels,Talk Show,The Go-Go&#39;s,217000,152
Help I&#39;m Alive,Fantasies,Metric,285000,175
Hey Lion,Soft Animals,Sofi Tukker,209000,96
How Soon Is Now? (2011 Remaster),Hatful of Hollow,The Smiths,408000,199
How You Like Me Now,The House That Dirt Built,The Heavy,217000,10
Human Behaviour,Debut,Bjork,252000,138
Humankind,My Favourite Letters,Alice Russell,281000,73
Hysteric,It&#39;s Blitz!,Yeah Yeah Yeahs,230000,62
I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,174928,42
I Can&#39;t Go for That (No Can Do) (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,309000,83
I Turn My Camera On,Gimme Fiction (Deluxe Edition),Spoon,212000,75
If I Ever Feel Better,United,Phoenix,266000,202
In Between Days,Staring At The Sea: The Singles,The Cure,175916,181
In My House,Only Four You,Mary Jane Girls,302000,137
Iron Man,First Band On The Moon,Cardigans,259707,111
Island In The Sun,Weezer (Green Album),Weezer,200000,205
Italian Leather Sofa,Fashion Nugget,Cake,349180,104
Jackie Go!,Kinda&#39; Kinky,Ursula 1000,274000,30
Jerk It Out (New Brauer Mix),Paper Tigers,Caesars,194000,97
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,179
