Title,Album,Artist,Duration
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000
10 A.M. Automatic,Rubber Factory,The Black Keys,179000
15 to 20,The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000
A Love Bizarre,Romance 1600,Sheila E,738000
Ace of Spades,Ace of Spades,Motörhead,167000
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000
Around the World,Homework,Daft Punk,429000
Bad Mouth,13 Songs,Fugazi,155000
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000
Black Moon Spell,Black Moon Spell,King Tuff,293000
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000
Blue Blood Blues,Sea Of Cowards,The Dead Weather,202000
Bonin&#39; In the Boneyard,Truth And Soul,Fishbone,283000
Boom Bap Reinstated,SB2,Gramatik,216000
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000
Cherry Bomb,Bad Reputation (Music from the Original Motion Picture),The Runaways,136000
Chop Suey!,Toxicity,System Of A Down,210000
Close to the Borderline,Glass Houses,Billy Joel,226000
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000
Conquest,Conquest,The White Stripes,168000
Dance Commander,Fire,Electric Six,156000
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000
Don&#39;t Bring Me Down,Discovery,Electric Light Orchestra,243000
Don&#39;t Stop &#39;Til You Get Enough (Single Version),Off the Wall,Michael Jackson,365000
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000
E-Pro,Guero,Beck,202368
Eddie&#39;s Gun,The Best Of... So Far,The Kooks,134000
Electronic Civil Disobedience,Dude Descending A Staircase,Apollo 440,295000
Face to Face,Discovery,Daft Punk,240000
Fearless,The Bravery,The Bravery,185000
Gay Bar,Fire,Electric Six,140000
Getting into the Jam,Fire,Electric Six,134000
Girls Just Want To Have Fun  ,She&#39;s So Unusual,Cyndi Lauper,236444
Girls and Boys (7&quot; Mix),Blur: The Best Of,Blur,259000
Good Beat,World Clique,Deee-Lite,277836
Goody Two Shoes,Friend or Foe,Adam Ant,209586
Hard to Beat,Best Of 2004 - 2014,Hard-Fi,253000
"Harder, Better, Faster, Stronger",Harder Better Faster Stronger,Daft Punk,226000
Hate To Say I Told You So,Veni Vidi Vicious,The Hives,199000
Hateful,London Calling,Clash,165386
Headbanger,Black Moon Spell,King Tuff,208000
Heads Will Roll,It&#39;s Blitz!,Yeah Yeah Yeahs,221000
Hell Yes,Guero,Beck,197928
Hey Ya!,The Love Below,Outkast,235230
I Ain&#39;t Goin&#39; Out Like That,Black Sunday,Cypress Hill,267000
I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That&#39;s What I&#39;m Not",Arctic Monkeys,174928
I Go To Your House,Ego War,Audio Bullys,214700
I Want Your (Hands on Me),Lion and the Cobra,Sinéad O&#39;Connor,278000
I&#39;m Not Part of Me,Here and Nowhere Else,Cloud Nothings,275000
Interstate &#39;76 Theme,Interstate &#39;76 Soundtrack,Bullmark,59696
Jerk It Out (New Brauer Mix),Paper Tigers,Caesars,194000
Jique,Talk To La Bomb,Brazilian Girls,255000
Joining A Fan Club,Too Cool For School Mixtape For Kids,Puffy Ami Yumi,238000
Jump Around,House Of Pain,House Of Pain,214000
Jump in the Line,Jump Up Calypso,Harry Belafonte,221000
Just What I Needed,The Cars,The Cars,225645
Kung Fu,1977,Ash,136838
Le Freak,C&#39;est Chic,Chic,258830
Let&#39;s Dance,Let&#39;s Dance,David Bowie,248950
Little Sister,Lullabies To Paralyze,Queens Of The Stone Age,174000
Loser,Mellow Gold,Beck,235023
"Mahna, Mahna",B-Sides And Rarities,CAKE,174000
Makeba,Zanaka,Jain,249599
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,289000
Man,Please Clap Your Hands,The Bird And The Bee,183000
