Title,Album,Artist,Duration,Index
(Don&#39;t Fear) The Reaper,Agents of Fortune,Blue Oyster Cult,308451,176
(The Forgotten People),Radio Retaliation,Thievery Corporation,190000,296
100 Million,Ego War,Audio Bullys,211696,69
10:15 Saturday Night,Staring At The Sea: The Singles,The Cure,217698,333
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,107
5-20,The Dino Soars,Stegosaurus Rex,243000,34
52 Girls,The B-52s,The B-52&#39;s,214890,74
A Forest,Staring At The Sea: The Singles,The Cure,293670,336
A Love Bizarre,Romance 1600,Sheila E,738000,198
A Night Like This,Staring At The Sea: The Singles,The Cure,256363,346
A,Maybe You Should Drive,Barenaked Ladies,259785,95
Above The Clouds,Mickey Mouse Operation,Little People,230000,235
Adult Education (Special Rock Mix),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,274000,159
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,426
Again &amp; Again,The Bird And The Bee,The Bird &amp; The Bee,165616,151
Ain&#39;t No Good,Motorcade Of Generosity,Cake,159952,224
Akuda House Propaganda,Beyond Good &amp; Evil,Christophe Heral,160966,259
All Through The Night  ,She&#39;s So Unusual,Cyndi Lauper,270374,421
Aloha (feat. Merryn Jeann),Panorama,Møme,218000,318
Alright Hear This,Ill Communication,Beastie Boys,186775,113
An Announcement to Answer,An Announcement to Answer,Quantic,293000,314
And She Was,Little Creatures,Talking Heads,219000,402
Around the Bend,Around The Bend - EP,The Asteroids Galaxy Tour,229000,35
At Your Best,The Overture &amp; The Underscore,Sarah Blasko,215000,365
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,217
Basmati (Featuring Daniela),Gran Riserva,dZihan &amp; Kamien &amp; Daniela,331467,146
Battle Of Life(Gramatik 2012 Remix),Dinner With The Beatz Vol. 1 - 2012 Re-Edits,JK Soul,238000,351
Battle of Who Could Care Less,Whatever And Ever Amen,Ben Folds Five,195707,133
Beef Jerky,Viva! La Woman,Cibo Matto,148400,261
Beercan,Mellow Gold,Beck,239304,130
Believe,The Sun And The Moon,The Bravery,226000,379
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,321
Birds And The Bees,The Bird And The Bee,The Bird &amp; The Bee,229485,152
Bittersweet Faith,The Mating Game,Bitter:Sweet,259000,380
Black Swan,Late Night Tales: The Cinematic Orchestra,Thom Yorke,432000,383
Black Tambourine,Guero,Beck,166189,121
"Blips, Drips And Strips",Cobra And Phases Group Play Voltage In The Milky Night,Stereolab,267000,411
Blue Alert,Half The Perfect World,Madeleine Peyroux,250000,55
Blue Rondo A La Turk,Time Out,Dave Brubeck Quartet,403598,427
Boys Don&#39;t Cry,Staring At The Sea: The Singles,The Cure,157074,334
Breakdown (feat. Jack Johnson),White People,Handsome Boy Modeling School,247000,363
Breathe In,Details,Frou Frou,277000,172
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,301
Buggin&#39; Out,The Low End Theory,A Tribe Called Quest,217000,370
Buried At Sea (feat. Jesus),One Step Ahead Of The Spider,MC 900 Ft. Jesus,286000,387
Buscando (Karuan vs. Circus Remix (Digital Bonus Track)),Pop Arif,Madrid De  Los Austrias,355000,323
Bye Bye Love,The Cars (Deluxe Edition),The Cars,255000,368
Cannonball,Last Splash,The Breeders,215612,191
Celia Inside,Life,Cardigans,279344,240
Cellphone&#39;s Dead,The Information,Beck,285750,125
Changes,Hunky Dory,David Bowie,216866,434
Channel Z,Cosmic Thing,The B-52&#39;s,290609,84
Charanga Cakewalk,Loteria de la Cumbia Lounge,Charanga Cakewalk,285688,254
China Girl,Let&#39;s Dance,David Bowie,332953,440
Chispas,Loteria de la Cumbia Lounge,Charanga Cakewalk,213538,253
Close To Me,Staring At The Sea: The Singles,The Cure,220549,345
Clouds,Stereotype A,Cibo Matto,207000,41
Cold Shoulder,19,Adele,191867,57
Comanche,Motorcade Of Generosity,Cake,128934,221
Come On Closer,Finally Woken,Jem,227000,409
Come to Me (feat. Yukimi Nagano),Koop Islands,Koop,199000,28
Come,Lemon Jelly.ky,Lemon Jelly,509000,385
Come,Zanaka,Jain,162324,147
Compacto,JapanPopShow,Curumin,206000,354
Connection,Elastica,Elastica,140000,19
Contigo,Gran Hotel Buenos Aires,Federico Aubele,226000,382
Could You Be Loved,Legend,Bob Marley,237163,179
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,195
D Song,Dial &#39;M&#39; for Monkey,Bonobo,319000,232
Dancing the Whole Way Home,Dancing the Whole Way Home,Miss Li,169000,65
Departures,The Power of Suggestion,Karminsky Experience Inc.,263000,325
Der Kommissar,Der Kommissar,After The Fire,246740,60
Desert Sky Groove,Interstate &#39;76 Soundtrack,Bullmark,148538,215
Dirty Laundry,The Mating Game,Bitter:Sweet,200000,51
Dismantling Frank,Terrapin,Bonobo,307000,277
Disparate Youth,Master of My Make-Believe,Santigold,284000,16
Divine Hammer,Last Splash,The Breeders,161539,202
Do It,Ill Communication,Beastie Boys,196388,114
Do You Love Me Now?,Last Splash,The Breeders,181967,194
Don&#39;t You Know,SB2,Gramatik,292000,396
Drinkee,Soft Animals,Sofi Tukker,299000,216
Dry County,Cosmic Thing,The B-52&#39;s,294710,78
Dundadeova,Gran Riserva,dZihan &amp; Kamien,264254,145
El Indio,Loteria de la Cumbia Lounge,Charanga Cakewalk,264160,252
Estimated Prophet,Deadicated,Burning Spear,411529,220
Ever Fallen In Love (feat. Mélanie Pain),Bande A Part,Nouvelle Vague,199000,361
Everybody Wants To Be Famous,Superorganism,Superorganism,185000,289
Everybody&#39;s Jumpin&#39;,Time Out,Dave Brubeck Quartet,261849,431
Everything (feat. Bajka),Berlin Serengeti,Radio Citizen,243000,21
Eyes Without A Face,Rebel Yell,Billy Idol,298318,150
