Title,Album,Artist,Duration,Index
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000,297
10 A.M. Automatic,Rubber Factory,The Black Keys,179000,231
100 Million,Ego War,Audio Bullys,211696,81
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,89
A Certain Romance,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,329706,79
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,181
A cause des garçons,Pop Up,Yelle,226000,49
AM,DDR Max Soundtrack,3P,77714,61
Ace of Spades,Ace of Spades,Motörhead,167000,203
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,145
All Lifestyles,To The 5 Boroughs,Beastie Boys,152958,118
Animal Rights,4x4=12,deadmau5,375000,268
Any How,Newcomer,Llorca,340000,260
Around the Bend,Around The Bend - EP,The Asteroids Galaxy Tour,229000,44
Around the World,Homework,Daft Punk,429000,310
Atom Bomb,Risotto,Fluke,345000,244
Awadama Fever,METAL RESISTANCE,BABYMETAL,253000,94
Bad Mouth,13 Songs,Fugazi,155000,249
Beef Jerky,Viva! La Woman,Cibo Matto,148400,191
Believe,The Sun And The Moon,The Bravery,226000,262
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,229
Best of Me,Diamonds &amp; Studs,Morningwood,181000,32
Bigger Hole To Fill,The Black And White Album,The Hives,217000,296
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,211
Birth In Reverse,St. Vincent,St. Vincent,195000,251
Birthday Cake,Viva! La Woman,Cibo Matto,194688,193
Black Moon Spell,Black Moon Spell,King Tuff,293000,213
Black Tambourine,Guero,Beck,166189,121
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000,253
Blue Blood Blues,Sea Of Cowards,The Dead Weather,202000,20
Blue Orchid,Get Behind Me Satan,The White Stripes,157000,200
Boom Bap Reinstated,SB2,Gramatik,216000,235
Breathe Today,Flyleaf,Flyleaf,149000,299
Breathe,The Fat Of The Land,Prodigy,334000,18
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,48
Busy Child,Vegas,The Crystal Method,445018,228
Buzz Buzz Buzz,Lovely,The Primitives,121000,31
Call Me,American Gigolo,Blondie,212244,153
Ch-Check It Out,To The 5 Boroughs,Beastie Boys,191594,117
Cherry Twist,Vegas,The Crystal Method,264628,227
Cherub Rock,Siamese Dream,Smashing Pumpkins,298266,194
Chop Suey!,Toxicity,System Of A Down,210000,304
Cineramascope (featuring Trombone Shorty and Corey Henry),Ya-Ka-May [Deluxe Edition],Galactic,194000,50
Clampdown,London Calling,Clash,231140,196
Close to the Borderline,Glass Houses,Billy Joel,226000,12
Clubbed to Death (Kurayamino Variation),Furious Angels (2 CD Set-Enhanced),Rob Dougan,447000,254
Cochise,Audioslave,Audioslave,222000,174
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,23
Come Out and Play,Smash,The Offspring,197000,131
Come,Zanaka,Jain,162324,144
Comin&#39; Back,Vegas,The Crystal Method,339066,233
Comrade Z,A Mad And Faithful Telling,Devotchka,143000,270
Connection,Elastica,Elastica,140000,34
Conquest,Conquest,The White Stripes,168000,204
Consoler of the Lonely,Consolers of the Lonely,The Raconteurs,205000,232
Copycat,Bury The Hatchet,The Cranberries,173765,225
Cosmos (Outer Space),Dangerous And Moving,t.A.T.u.,252000,307
Crash,Lovely,The Primitives,151000,28
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,164
Cult of Personality,Vivid,Living Colour,294000,215
D.A.N.C.E,Cross,Justice,242000,264
Dance Commander,Fire,Electric Six,156000,96
Dancing Shoes,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,142532,74
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478,137
Dancing with Domz,Beyond Good &amp; Evil,Christophe Heral,275236,183
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000,95
Der Kommissar,Der Kommissar,After The Fire,246740,67
Disparate Youth,Master of My Make-Believe,Santigold,284000,26
Don&#39;t Stop &#39;Til You Get Enough (Single Version),Off the Wall,Michael Jackson,365000,114
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000,99
Dreamwalk Baby,Lovely,The Primitives,121000,30
E-Pro,Guero,Beck,202368,120
Ecstasy,DDR Max Soundtrack,d-compleX,103636,308
Eddie&#39;s Gun,The Best Of... So Far,The Kooks,134000,285
Electronic Civil Disobedience,Dude Descending A Staircase,Apollo 440,295000,219
Elephants,Them Crooked Vultures,Them Crooked Vultures,409000,216
Faded,The Will To Live,Ben Harper,287950,128
Fall In Love,Voices,Phantogram,223000,42
Fearless,The Bravery,The Bravery,185000,284
