Title,Album,Artist,Duration,Index
15 to 20,The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000,0
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,43
52 Girls,The B-52s,The B-52&#39;s,214890,42
A Love Bizarre,Romance 1600,Sheila E,738000,73
A cause des garçons,Pop Up,Yelle,226000,25
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,69
Any How,Newcomer,Llorca,340000,111
Around the Bend,Around The Bend - EP,The Asteroids Galaxy Tour,229000,19
Around the World,Homework,Daft Punk,429000,123
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,77
Ay Ay Ay,Lost &amp; Found,Dzihan &amp; Kamien,403026,7
Beercan,Mellow Gold,Beck,239304,57
Belleville Rendez-Vous (French Version),The Triplets of Belleville,Ben Charest,189982,58
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,97
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,89
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,24
Champion Nibble,Trouser Jazz,Mr. Scruff,214000,95
Come to Me (feat. Yukimi Nagano),Koop Islands,Koop,199000,14
Come,Zanaka,Jain,162324,65
Cosmos (Outer Space),Dangerous And Moving,t.A.T.u.,252000,120
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,71
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478,66
Der Kommissar,Der Kommissar,After The Fire,246740,33
Don&#39;t Stop,Brazilian Girls,Brazilian Girls,229000,104
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000,51
Electronic Civil Disobedience,Dude Descending A Staircase,Apollo 440,295000,92
Face to Face,Discovery,Daft Punk,240000,115
Flutter,Dial &#39;M&#39; for Monkey,Bonobo,284000,79
Friday,"Beatz &amp; Pieces, Vol. 1",Gramatik,202000,91
Get Lucky (Radio Edit) (feat. Pharrell Williams &amp; Nile Rodgers),Get Lucky,Daft Punk,248000,35
Get Me Off,Rooty,Basement Jaxx,291000,100
Ghosts &#39;n&#39; Stuff (Original Instrumental Mix) (feat. Rob Swire),Ghosts &#39;n&#39; Stuff (Original Instrumental Mix),Deadmau5,370000,46
Ghosts &#39;n&#39; Stuff (feat. Rob Swire),5 Years of mau5,deadmau5,328000,36
Girls and Boys (7&quot; Mix),Blur: The Best Of,Blur,259000,37
Good Time Girl (feat. Charlie Barker),Treehouse,Sofi Tukker,184000,98
Goody Two Shoes,Friend or Foe,Adam Ant,209586,30
Groovin&#39;,Mushroom Jazz 6,Kero One,205818,103
Gypsy Woman (She&#39;s Homeless),Surprise,Crystal Waters,229588,105
Hard to Beat,Best Of 2004 - 2014,Hard-Fi,253000,117
