Title,Album,Artist,Duration,Index
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000,193
10 A.M. Automatic,Rubber Factory,The Black Keys,179000,130
15 to 20,The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000,48
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,0
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,161
Ace of Spades,Ace of Spades,Motörhead,167000,94
All in You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,50
Any How,Newcomer,Llorca,340000,168
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,67
Bad Mouth,13 Songs,Fugazi,155000,152
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,124
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,138
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,85
Birth In Reverse,St. Vincent,St. Vincent,195000,155
Black Moon Spell,Black Moon Spell,King Tuff,293000,200
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000,157
Blue Blood Blues,Sea Of Cowards,The Dead Weather,202000,42
Blue Orchid,Get Behind Me Satan,The White Stripes,157000,90
Bonin&#39; In the Boneyard,Truth And Soul,Fishbone,283000,129
Boom Bap Reinstated,SB2,Gramatik,216000,139
Boys Don&#39;t Cry,Staring At The Sea: The Singles,The Cure,157074,143
Breathe In,Details,Frou Frou,277000,59
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,35
Buggin&#39; Out,The Low End Theory,A Tribe Called Quest,217000,164
Champion Nibble,Trouser Jazz,Mr. Scruff,214000,118
Close To Me,Staring At The Sea: The Singles,The Cure,220549,146
Close to the Borderline,Glass Houses,Billy Joel,226000,44
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,41
Come,Zanaka,Jain,162324,5
Comrade Z,A Mad And Faithful Telling,Devotchka,143000,178
Conquest,Conquest,The White Stripes,168000,96
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,56
Dance Commander,Fire,Electric Six,156000,26
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000,55
Don&#39;t Stop &#39;Til You Get Enough (Single Version),Off the Wall,Michael Jackson,365000,17
Don&#39;t Stop,Brazilian Girls,Brazilian Girls,229000,142
Don&#39;t Stop,Rumours,Fleetwood Mac,191152,72
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000,24
Eddie&#39;s Gun,The Best Of... So Far,The Kooks,134000,189
Electronic Civil Disobedience,Dude Descending A Staircase,Apollo 440,295000,113
Everybody Wants To Be Famous,Superorganism,Superorganism,185000,108
Face to Face,Discovery,Daft Punk,240000,179
Fearless,The Bravery,The Bravery,185000,187
Fell in Love With a Girl,White Blood Cells [Bonus DVD],The White Stripes,109616,184
Finer,Carboot Soul,Nightmares On Wax,210000,159
Fly,Floored,Sugar Ray,244000,22
Friday I&#39;m in Love,Wish,The Cure,214000,147
Friday,"Beatz &amp; Pieces, Vol. 1",Gramatik,202000,75
Fun and Mini-Games,Beyond Good &amp; Evil,Christophe Heral,113854,80
Gamma Ray,Modern Guilt,Beck,176000,98
Get A Move On!,Keep It Unreal,Mr. Scruff,205000,18
Get Lucky (Radio Edit) (feat. Pharrell Williams &amp; Nile Rodgers),Get Lucky,Daft Punk,248000,203
Getting into the Jam,Fire,Electric Six,134000,53
Girls Just Want To Have Fun  ,She&#39;s So Unusual,Cyndi Lauper,236444,149
Girls and Boys (7&quot; Mix),Blur: The Best Of,Blur,259000,51
Glamour Boys,Vivid,Living Colour,220000,110
Goldrush (Instrumental),Session 1,The Herbaliser,340000,126
Groovin&#39;,Mushroom Jazz 6,Kero One,205818,140
Hard to Beat,Best Of 2004 - 2014,Hard-Fi,253000,199
"Harder, Better, Faster, Stronger",Harder Better Faster Stronger,Daft Punk,226000,31
Hate To Say I Told You So,Veni Vidi Vicious,The Hives,199000,182
Have Love Will Travel,Thickfreakness,The Black Keys,184000,192
Headbanger,Black Moon Spell,King Tuff,208000,104
Heart Go Boom (Instrumental Version),Gettin&#39; High On Your Own Supply,Apollo 440,301000,99
Here and Now,Aurora Gory Alice,Letters To Cleo,218000,15
Hey Ya!,The Love Below,Outkast,235230,204
I Turn My Camera On,Gimme Fiction (Deluxe Edition),Spoon,212000,9
I Want Your (Hands on Me),Lion and the Cobra,Sinéad O&#39;Connor,278000,134
I&#39;m Not Part of Me,Here and Nowhere Else,Cloud Nothings,275000,87
I&#39;m in Love with My Life,For Life,PHASES,211000,34
If I Ever Feel Better,United,Phoenix,266000,173
If You Fear Dying,One Day As A Lion,One Day As A Lion,236000,25
In the Meantime,Resident Alien,Spacehog,299000,21
Interstate &#39;76 Theme,Interstate &#39;76 Soundtrack,Bullmark,59696,62
Jazz Potato,Mrs Cruff,Mr. Scruff,365000,7
Jerk It Out (New Brauer Mix),Paper Tigers,Caesars,194000,33
Jique,Talk To La Bomb,Brazilian Girls,255000,52
Joker And The Thief,Wolfmother (International Version),Wolfmother,280000,47
Jump Around,House Of Pain,House Of Pain,214000,167
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,144
Just Like Heaven (2006 Remaster),Kiss Me Kiss Me Kiss Me,The Cure,212000,169
Just What I Needed,The Cars,The Cars,225645,76
Know Your Chicken,Viva! La Woman,Cibo Matto,260000,83
La Negra Celina,Loteria de la Cumbia Lounge,Charanga Cakewalk,270712,78
Le Freak,C&#39;est Chic,Chic,258830,79
Lips Like Sugar,Echo &amp; The Bunnymen,Echo And The Bunnymen,291000,88
Little Daffodil Gas Parade,Interstate &#39;76 Soundtrack,Bullmark,40508,65
Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,233000,1
Love You Madly,Comfort Eagle,Cake,236756,71
Lovergirl,Greatest Hits,Teena Marie,290000,135
Lyin&#39; Ass Bitch,Fishbone,Fishbone,255000,114
"Mahna, Mahna",B-Sides And Rarities,CAKE,174000,123
Makeba,Zanaka,Jain,249599,6
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,289000,181
Mandinka,Lion and the Cobra,Sinéad O&#39;Connor,227000,69
Mexican Radio,Guilty Pleasures,Wall Of Voodoo,250000,127
Moar Jive,"Beatz &amp; Pieces, Vol. 1",Gramatik,218000,120
Modern Industry,Fishbone,Fishbone,265000,116
Mother Mother,The Burdens Of Being Upright,Tracy Bonham,180000,97
Mr. Maker,Konk,The Kooks,180000,196
Music Takes Me Up (feat. Alice Russell),Ninja Tuna,Mr Scruff,328000,128
