Title,Album,Artist,Duration,Index
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000,257
15 to 20,The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000,3
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,58
52 Girls,The B-52s,The B-52&#39;s,214890,56
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,212
A cause des garçons,Pop Up,Yelle,226000,31
A,Maybe You Should Drive,Barenaked Ladies,259785,68
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,266
All Lifestyles,To The 5 Boroughs,Beastie Boys,152958,78
All in You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,101
Aloha (feat. Merryn Jeann),Panorama,Møme,218000,178
Alone in Kyoto,Talkie Walkie,Air,291000,118
Animal Rights,4x4=12,deadmau5,375000,236
Any How,Newcomer,Llorca,340000,218
Around the Bend,Around The Bend - EP,The Asteroids Galaxy Tour,229000,23
Around the World,Homework,Daft Punk,429000,262
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,112
Bad Mouth,13 Songs,Fugazi,155000,202
Beercan,Mellow Gold,Beck,239304,82
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,168
Best of Me,Diamonds &amp; Studs,Morningwood,181000,13
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,184
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,144
Birth In Reverse,St. Vincent,St. Vincent,195000,203
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000,205
Bonin&#39; In the Boneyard,Truth And Soul,Fishbone,283000,172
Boom Bap Reinstated,SB2,Gramatik,216000,187
Breakdown (feat. Jack Johnson),White People,Handsome Boy Modeling School,247000,209
Breathe In,Details,Frou Frou,277000,99
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,30
Buggin&#39; Out,The Low End Theory,A Tribe Called Quest,217000,215
Bye Bye Love,The Cars (Deluxe Edition),The Cars,255000,213
Ce jeu,Pop Up,Yelle,222000,254
Champion Nibble,Trouser Jazz,Mr. Scruff,214000,159
Close To Me,Staring At The Sea: The Singles,The Cure,220549,195
Clouds,Stereotype A,Cibo Matto,207000,157
Cold Shoulder,19,Adele,191867,46
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,8
Come to Me (feat. Yukimi Nagano),Koop Islands,Koop,199000,17
Come,Lemon Jelly.ky,Lemon Jelly,509000,228
Come,Zanaka,Jain,162324,92
Compacto,JapanPopShow,Curumin,206000,200
Connection,Elastica,Elastica,140000,14
Conquest,Conquest,The White Stripes,168000,136
Crash,Lovely,The Primitives,151000,11
Cutie Chaser,DDR Max Soundtrack,Club Spice,82914,162
D.A.N.C.E,Cross,Justice,242000,232
Dance Commander,Fire,Electric Six,156000,67
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478,95
Dancing the Whole Way Home,Dancing the Whole Way Home,Miss Li,169000,19
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000,66
Der Kommissar,Der Kommissar,After The Fire,246740,47
Dirty Laundry,The Mating Game,Bitter:Sweet,200000,36
Divine Hammer,Last Splash,The Breeders,161539,106
Don&#39;t Stop &#39;Til You Get Enough (Single Version),Off the Wall,Michael Jackson,365000,77
Don&#39;t Stop,Brazilian Girls,Brazilian Girls,229000,191
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000,69
Drinkee,Soft Animals,Sofi Tukker,299000,111
