Title,Album,Artist,Duration,Index
(Don&#39;t Fear) The Reaper,Agents of Fortune,Blue Oyster Cult,308451,281
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000,796
(The Forgotten People),Radio Retaliation,Thievery Corporation,190000,558
10 A.M. Automatic,Rubber Factory,The Black Keys,179000,597
100 Million,Ego War,Audio Bullys,211696,139
1009,Black Sands,Bonobo,269230,293
10:15 Saturday Night,Staring At The Sea: The Singles,The Cure,217698,650
15 to 20,The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000,8
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,147
5-20,The Dino Soars,Stegosaurus Rex,243000,81
A Certain Romance,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,329706,137
A Forest,Staring At The Sea: The Singles,The Cure,293670,653
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,697
A Love Bizarre,Romance 1600,Sheila E,738000,314
A Night Like This,Staring At The Sea: The Singles,The Cure,256363,663
A cause des garçons,Pop Up,Yelle,226000,89
A(flat) Traffic Jam,Big Wet Kiss,Chucklehead,281476,463
A,Maybe You Should Drive,Barenaked Ladies,259785,173
AM,DDR Max Soundtrack,3P,77714,101
Above The Clouds,Mickey Mouse Operation,Little People,230000,390
Above and Beyond,Beyond Good &amp; Evil,Christophe Heral,342784,453
Ace of Spades,Ace of Spades,Motörhead,167000,506
Acebo,Loteria de la Cumbia Lounge,Charanga Cakewalk,325598,437
Adult Education (Special Rock Mix),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,274000,259
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,821
Adversary,Until the End of the World,Crime &amp; The City Solution,331136,574
After Time,Mrs Cruff,Mr. Scruff,152000,614
Again &amp; Again,The Bird And The Bee,The Bird &amp; The Bee,165616,241
Ain&#39;t No Good,Motorcade Of Generosity,Cake,159952,371
Akuda House Propaganda,Beyond Good &amp; Evil,Christophe Heral,160966,446
All In Forms,Black Sands,Bonobo,290446,294
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,257
All Through The Night  ,She&#39;s So Unusual,Cyndi Lauper,270374,810
Aloha (feat. Merryn Jeann),Panorama,Møme,218000,606
Alone in Kyoto,Talkie Walkie,Air,291000,76
An Announcement to Answer,An Announcement to Answer,Quantic,293000,601
Ancient Chinese Secrets,Beyond Good &amp; Evil,Christophe Heral,179218,447
And She Was,Little Creatures,Talking Heads,219000,762
Animal Rights,4x4=12,deadmau5,375000,748
Animals,Black Sands,Bonobo,403208,296
Another Generation,Fishbone,Fishbone,243000,548
Any How,Newcomer,Llorca,340000,706
Apple,Viva! La Woman,Cibo Matto,240396,464
Arco Arena,Comfort Eagle,Cake,90948,395
Around the Bend,Around the Bend,The Asteroids Galaxy Tour,229000,55
Around the World,Homework,Daft Punk,429000,814
Artichoke,Viva! La Woman,Cibo Matto,400166,473
As The Rush Comes (Gabriel &amp; Dresden Chillout Mix),As The Rush Comes,Motorcycle,381000,693
At Your Best,The Overture &amp; The Underscore,Sarah Blasko,215000,694
Atom Bomb,Risotto,Fluke,345000,642
Awadama Fever,METAL RESISTANCE,BABYMETAL,253000,495
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,351
Ay Ay Ay,Lost &amp; Found,Dzihan &amp; Kamien,403026,0
Bad Mouth,13 Songs,Fugazi,155000,675
Bad Stone,Vegas,The Crystal Method,308126,633
Basique,Mickey Mouse Operation,Little People,218000,725
Basmati (Featuring Daniela),Gran Riserva,dZihan &amp; Kamien &amp; Daniela,331467,230
Battle For Britain (the Letter),Earthling,David Bowie,288990,843
Battle Of Life(Gramatik 2012 Remix),Dinner With The Beatz Vol. 1 - 2012 Re-Edits,JK Soul,238000,669
Beef Jerky,Viva! La Woman,Cibo Matto,148400,465
Beercan,Mellow Gold,Beck,239304,215
Before Or Since,Deadringer: Deluxe,RJD2,201000,388
Believe,The Sun And The Moon,The Bravery,226000,723
Belleza,Loteria de la Cumbia Lounge,Charanga Cakewalk,273832,431
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,584
Best of Me,Diamonds &amp; Studs,Morningwood,181000,56
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,613
Bigger Hole To Fill,The Black And White Album,The Hives,217000,795
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,521
Birds And The Bees,The Bird And The Bee,The Bird &amp; The Bee,229485,242
Birth In Reverse,St. Vincent,St. Vincent,195000,682
Birthday Cake,Viva! La Woman,Cibo Matto,194688,467
Bittersweet Faith,The Mating Game,Bitter:Sweet,259000,726
Black Moon Spell,Black Moon Spell,King Tuff,293000,526
Black Sands,Black Sands,Bonobo,406978,297
Black Swan,Late Night Tales: The Cinematic Orchestra,Thom Yorke,432000,729
Black Tambourine,Guero,Beck,166189,203
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000,685
"Blips, Drips And Strips",Cobra And Phases Group Play Voltage In The Milky Night,Stereolab,267000,787
Blue Alert,Half The Perfect World,Madeleine Peyroux,250000,109
Blue Blood Blues,Sea Of Cowards,The Dead Weather,202000,36
Blue Orchid,Get Behind Me Satan,The White Stripes,157000,502
Blue Rondo A La Turk,Time Out,Dave Brubeck Quartet,403598,822
Bobo On The Corner,Ill Communication,Beastie Boys,73273,191
Bonin&#39; In the Boneyard,Truth And Soul,Fishbone,283000,595
Boom Bap Reinstated,SB2,Gramatik,216000,624
Boys Don&#39;t Cry,Staring At The Sea: The Singles,The Cure,157074,651
Brand New Cadillac,London Calling,Clash,129662,476
Breakdown (feat. Jack Johnson),White People,Handsome Boy Modeling School,247000,689
Breathe In,Details,Frou Frou,277000,273
Breathe Today,Flyleaf,Flyleaf,149000,798
Breathe,The Fat Of The Land,Prodigy,334000,33
Brimful of Asha,When I Was Born For The 7th Time,Cornershop,317000,565
Broken,Choreography,Lauren Hoffman,225000,620
Budapest Eskimos,more pLUSH,The Lushlife Project,325000,720
Buggin&#39; Out,The Low End Theory,A Tribe Called Quest,217000,700
Buried At Sea (feat. Jesus),One Step Ahead Of The Spider,MC 900 Ft. Jesus,286000,733
Buscando (Karuan vs. Circus Remix (Digital Bonus Track)),Pop Arif,Madrid De  Los Austrias,355000,617
Buster Rides Again,Time Waits,Bud Powell,332982,328
Busy Child,Vegas,The Crystal Method,445018,578
Buzz Buzz Buzz,Lovely,The Primitives,121000,54
Bye Bye Love,The Cars (Deluxe Edition),The Cars,255000,698
Bye Bye Love,The Cars,The Cars,254197,426
Call Me,American Gigolo,Blondie,212244,279
Cannonball,Last Splash,The Breeders,215612,306
Carnival,Life,Cardigans,216294,406
Ce jeu,Pop Up,Yelle,222000,784
Celia Inside,Life,Cardigans,279344,407
Cellphone&#39;s Dead,The Information,Beck,285750,207
Champion Nibble,Trouser Jazz,Mr. Scruff,214000,556
Change Down,Dial &#39;M&#39; for Monkey,Bonobo,273000,384
Changes,Hunky Dory,David Bowie,216866,831
Channel Z,Cosmic Thing,The B-52&#39;s,290609,163
Charanga Cakewalk,Loteria de la Cumbia Lounge,Charanga Cakewalk,285688,435
Cherry Twist,Vegas,The Crystal Method,264628,579
China Girl,Let&#39;s Dance,David Bowie,332953,838
Chispas,Loteria de la Cumbia Lounge,Charanga Cakewalk,213538,434
Choke,First Band On The Moon,Cardigans,206574,405
Chop Suey!,Toxicity,System Of A Down,210000,804
Clampdown,London Calling,Clash,231140,483
Close To Me,Staring At The Sea: The Singles,The Cure,220549,662
Close to the Borderline,Glass Houses,Billy Joel,226000,240
Clouds,Stereotype A,Cibo Matto,207000,92
Clubbed to Death (Kurayamino Variation),Furious Angels (2 CD Set-Enhanced),Rob Dougan,447000,691
Cochise,Audioslave,Audioslave,222000,379
Cold Shoulder,19,Adele,191867,114
Comanche,Motorcade Of Generosity,Cake,128934,362
Combat Baby,"Old World Underground, Where Are You Now?",Metric,209000,39
Come On Closer,Finally Woken,Jem,227000,780
Come Out and Play,Smash,The Offspring,197000,222
Come to Me (feat. Yukimi Nagano),Koop Islands,Koop,199000,72
Come,Lemon Jelly.ky,Lemon Jelly,509000,731
Come,Zanaka,Jain,162324,232
Comin&#39; Back,Vegas,The Crystal Method,339066,612
Commissioning A Symphony In C,Comfort Eagle,Cake,178308,394
Compacto,JapanPopShow,Curumin,206000,673
Connection,Elastica,Elastica,140000,57
Conquest,Conquest,The White Stripes,168000,509
Consoler of the Lonely,Consolers of the Lonely,The Raconteurs,205000,603
Contigo,Gran Hotel Buenos Aires,Federico Aubele,226000,728
Copycat,Bury The Hatchet,The Cranberries,173765,573
Corner Store,Brazilian Girls,Brazilian Girls,253000,646
Cosmos (Outer Space),Dangerous And Moving,t.A.T.u.,252000,807
Could You Be Loved,Legend,Bob Marley,237163,283
Crash,Lovely,The Primitives,151000,51
Crazy Sufferin Style,Selah Sue,Selah Sue,252000,312
Cult of Personality,Vivid,Living Colour,294000,538
Cumulus,Cumulus,Imogen Heap,284000,3
Cutie Chaser,DDR Max Soundtrack,Club Spice,82914,563
D Song,Dial &#39;M&#39; for Monkey,Bonobo,319000,385
D.A.N.C.E,Cross,Justice,242000,737
Dance Commander,Fire,Electric Six,156000,162
Dancing Shoes,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,142532,129
Dancing With Myself,Don&#39;t Stop,Billy Idol,294478,236
Dancing the Whole Way Home,Dancing the Whole Way Home,Miss Li,169000,79
Dancing with Domz,Beyond Good &amp; Evil,Christophe Heral,275236,442
Danger! High Voltage (Soulchild Radio Mix),Fire,Electric Six,214000,310
Departures,The Power of Suggestion,Karminsky Experience Inc.,263000,618
Der Kommissar,Der Kommissar,After The Fire,246740,117
Desert Sky Groove,Interstate &#39;76 Soundtrack,Bullmark,148538,348
Destination Vertical,Unsolved Remained,Masha Qrella,357000,769
Dirty Laundry,The Mating Game,Bitter:Sweet,200000,251
Dismantling Frank,Terrapin,Bonobo,307000,500
Disparate Youth,Master of My Make-Believe,Santigold,284000,45
Divine Hammer,Last Splash,The Breeders,161539,321
Do You Love Me Now?,Last Splash,The Breeders,181967,309
Doctor Robert,Revolver,The Beatles,134654,197
Don&#39;t Stop &#39;Til You Get Enough (Single Version),Off the Wall,Michael Jackson,365000,193
Don&#39;t Stop,Brazilian Girls,Brazilian Girls,229000,645
Don&#39;t You Know,SB2,Gramatik,292000,745
Down At McDonaldz,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Electric Six,241000,174
Dreamwalk Baby,Lovely,The Primitives,121000,53
Drinkee,Soft Animals,Sofi Tukker,299000,350
Drivin&#39; on 9,Last Splash,The Breeders,201318,327
Dry County,Cosmic Thing,The B-52&#39;s,294710,157
