Title,Album,Artist,Duration,Index
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,12
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,48
Ace of Spades,Ace of Spades,Motörhead,167000,27
All In You (feat. Anna Kova),Convergence (Deluxe Edition),Synapson,257000,21
Bad Mouth,13 Songs,Fugazi,155000,47
Beercan,Mellow Gold,Beck,239304,17
"Best Friend (feat. NERVO, The Knocks &amp; ALISA UENO)",Treehouse,Sofi Tukker,184000,39
Blue Orchid,Get Behind Me Satan,The White Stripes,157000,26
Boom Bap Reinstated,SB2,Gramatik,216000,43
Close to the Borderline,Glass Houses,Billy Joel,226000,1
Conquest,Conquest,The White Stripes,168000,28
Dancing the Whole Way Home,Dancing the Whole Way Home,Miss Li,169000,6
Disparate Youth,Master of My Make-Believe,Santigold,284000,3
Fall In Love,Voices,Phantogram,223000,5
Friday,"Beatz &amp; Pieces, Vol. 1",Gramatik,202000,36
Friends Forever,Hi Hi Puffy AmiYumi,Puffy Ami Yumi,241000,0
Headbanger,Black Moon Spell,King Tuff,208000,31
I Miss the Girl,El Oso,Soul Coughing,243171,54
I&#39;m Not Part of Me,Here and Nowhere Else,Cloud Nothings,275000,25
In the Meantime,Resident Alien,Spacehog,299000,15
Invincible,Oh No,Ok Go,209742,52
It’s All Good,Superorganism,Superorganism,203000,42
Jique,Talk To La Bomb,Brazilian Girls,255000,23
Joining A Fan Club,Too Cool For School Mixtape For Kids,Puffy Ami Yumi,238000,10
Ladyfingers,Electric Honey,Luscious Jackson,207000,46
Little Sister,Lullabies To Paralyze,Queens Of The Stone Age,174000,45
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,289000,50
Misery Business,Riot!,Paramore,211000,51
Mother Mother,The Burdens Of Being Upright,Tracy Bonham,180000,29
Music Takes Me Up (feat. Alice Russell),Ninja Tuna,Mr Scruff,328000,40
Name Of The Game,Tweekend,The Crystal Method,255109,44
Nobody Really Cares If You Don&#39;t Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,166000,38
Reflections On The Screen,Superorganism,Superorganism,232000,35
Sail,Megalithic Symphony Deluxe,AWOLNATION,259000,11
Second Song,Nine Types Of Light,TV On The Radio,260000,8
Seether,American Thighs,Veruca Salt,196000,24
Something For Your M.I.N.D.,Superorganism,Superorganism,165000,34
Stand Together,Check Your Head,Beastie Boys,166686,14
Tennis Court,Pure Heroine,Lorde,198000,2
The Girl Got Hot,Raditude,Weezer,194000,49
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000,7
The Negotiation Limerick File,Hello Nasty,Beastie Boys,166217,16
The Prawn Song,Superorganism,Superorganism,195000,33
This World,Selah Sue,Selah Sue,284000,22
Thunder,Invaders Must Die,The Prodigy,249000,20
U Don&#39;t Know Me,The Singles,Basement Jaxx,215000,32
Wannabe In L.A,Heart On,Eagles Of Death Metal,135000,41
Way Down Now,Best In Show,World Party,229000,18
We Used To Be Friends,Welcome To The Monkey House,The Dandy Warhols,199000,9
Where&#39;s Your Head At,Rooty,Basement Jaxx,285000,19
You&#39;ll Find A Way,Santogold,Santigold,180000,13
