Title,Album,Artist,Duration,Index
" Who Can It Be Now",Business As Usual,Men At Work,202462,1193
(Big) Wish,Run Lola Run,Franka Potente &amp; Thomas D,232804,1688
(Don&#39;t Fear) The Reaper,Agents Of Fortune,Blue Öyster Cult,308000,2550
(Don&#39;t Fear) The Reaper,Agents of Fortune,Blue Oyster Cult,308451,375
(I Can&#39;t Get No) Satisfaction,Q: Are We Not Men? A: We Are Devo!,Devo,159406,1341
(I&#39;ll Love You) Till the End of the World,Until the End of the World,Nick Cave &amp; The Bad Seeds,276926,231
(I&#39;ll Never Be) Your Maggie May,Songs In Red And Gray,Suzanne Vega,227237,760
(If You&#39;re Wondering If I Want You To) I Want You To,Raditude,Weezer,208000,1350
(She Was A) Hotel Detective,They Might Be Giants,They Might Be Giants,130401,1180
(The Forgotten People),Radio Retaliation,Thievery Corporation,190000,1944
10 A.M. Automatic,Rubber Factory,The Black Keys,179000,1742
100 Million,Ego War,Audio Bullys,211696,1118
1000 Umbrellas,Skylarking,XTC,219986,1558
1009,Black Sands,Bonobo,269230,961
10:15 Saturday Night,Staring At The Sea: The Singles,The Cure,217698,159
12/6/73,Chewing Lessons de España,Barefoot Gravediggers,195936,1362
15 to 20 (feat. Lady Tigra),The Phenomenal Handclap Band,The Phenomenal Handclap Band,288000,2440
19-2000 (Soulchild Remix),The Singles Collection 2001-2011,Gorillaz,209000,2283
1979,Mellon Collie And The Infinite Sadness: Twilight To Starlight,Smashing Pumpkins,263575,501
1999,1999,Prince,379268,753
1%,Jane&#39;s Addiction,Jane&#39;s Addiction,211041,1387
32 Footsteps,They Might Be Giants,They Might Be Giants,95946,1011
360? (Oh Yeah?),Decksandrumsandrockandroll,Propellerheads &amp; De La Soul,267805,1177
4 out of 5,Irresistable Bliss,Soul Coughing,192233,521
40&#39;,Franz Ferdinand,Franz Ferdinand,203398,1084
4th Of July,Superunknown,Soundgarden,308869,1647
5-20,The Dino Soars,Stegosaurus Rex,243000,2378
52 Girls,The B-52&#39;s,The B-52&#39;s,216000,2537
52 Girls,The B-52s,The B-52&#39;s,214890,1236
867-5309 (Jenny),Tommy Tutone 2,Tommy Tutone,228020,705
9-9,Murmur,R.E.M.,183508,1975
911 Is A Joke,Fear Of A Black Planet,Public Enemy,197301,754
99 Luftballons,99 Luftballons,Nena,233010,1272
A Certain Romance,"Whatever People Say I Am, That&#39;s What I Am Not",Arctic Monkeys,329706,80
A Certain Someone,"Reading, Writing &amp; Arithmetic",The Sundays,264000,2463
A Certain Someone,"Reading, Writing And Arithmetic",The Sundays,264879,616
A Forest,Staring At The Sea: The Singles,The Cure,293670,28
A Good Idea At The Time,Oh No,Ok Go,193700,1977
A Higher Place,Wildflowers,Tom Petty,235144,1787
A Little Less Conversation (JXL Radio Edit Remix),Elv1s: 30 #1 Hits,Elvis Presley,213000,2059
A Little Respect,The Innocents,Erasure,213418,644
A Million Ways,Oh No,Ok Go,192296,266
A Night Like This,Staring At The Sea: The Singles,The Cure,256363,114
A Place In My Heart,Social Distortion,Social Distortion,195002,684
A Sermon,Message In A Box,The Police,152816,238
A Wonderous Siege,Chewing Lessons de España,Barefoot Gravediggers,304252,2247
A cause des garçons,Pop Up,Yelle,226000,2369
A(flat) Traffic Jam,Big Wet Kiss,Chucklehead,281476,1245
A-Punk,Vampire Weekend,Vampire Weekend,136760,1407
A,Maybe You Should Drive,Barenaked Ladies,259785,1027
ABC,Jackson 5: The Ultimate Collection,Jackson 5,177448,1882
ABC,The Definitive Collection,Jackson 5,177000,1881
ALT -Interlude-,Private,speedometer.,86346,1467
AM,DDR Max Soundtrack,3P,77714,2356
Above The Clouds,Mickey Mouse Operation,Little People,230000,2093
Above and Beyond,Beyond Good &amp; Evil,Christophe Heral,342784,170
Ace of Spades,Ace of Spades,Motörhead,167000,2050
Acebo,Loteria de la Cumbia Lounge,Charanga Cakewalk,325598,19
Aciiid!,Down to Earth,Jem,176000,2263
Addicted to Love,Riptide,Robert Palmer,235831,1251
Adult Education,Rock &#39;n Soul Part 1,Daryl Hall And John Oates,274335,69
Adversary,Until the End of the World,Crime &amp; The City Solution,331136,1057
After Time,Mrs Cruff,Mr. Scruff,152000,1703
Again &amp; Again,The Bird And The Bee,The Bird &amp; The Bee,165616,112
Ain&#39;t No Good,Motorcade Of Generosity,Cake,159952,1237
